url,img,name,price,body_part,weather_condition,gender
https://www.boyner.com.tr/people-by-fabrika-bluz-1094823,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002758390_300_01.jpg,People By Fabrika V Yaka Düz Yeşil Kadın Bluz 506587846,79.99,Top,Thin,Female
https://www.boyner.com.tr/twist-gomlek-1332069,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002959114_100_01.jpg,Twist Kapüşon Yaka Çizgili Beyaz Kadın Gömlek TW6220025081002,1199.00,Top,Thin,Female
https://www.boyner.com.tr/house-of-camellia-bluz-571848,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000106769_500_01.jpg,House Of Camellia 61Isı Blz486 Hc Bl Mor Kadın Askılı Bluz,419.98,Top,Thin,Female
https://www.boyner.com.tr/neon-rose-bluz-340171,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000104682_001_01.jpg,Neon Rose Yarım Kol Desenli Siyah BeyazKadın Bluz,538.97,Top,Thin,Female
https://www.boyner.com.tr/faik-sonmez-gomlek-1259527,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002929900_672_01.jpg,Faik Sönmez Gömlek Yaka Düz Fuşya Kadın Gömlek U65258,999.95,Top,Thin,Female
https://www.boyner.com.tr/jovonna-bluz-654391,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000186325_686_01.jpg,Jovonna Jovonna Kol Detaylı Bluz,319.99,Top,Thin,Female
https://www.boyner.com.tr/selen-bluz-1147484,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002904633_672_01.jpg,Selen 22YSL8324 V Yaka  Normal Kalıp Düz Fuşya Kadın Bluz,384.97,Top,Thin,Female
https://www.boyner.com.tr/pierre-cardin-gomlek-1143636,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002825627_700_98.jpg,Pierre Cardin Kent Klasik Yaka  Regular Fit Düz Sarı Kadın Gömlek,251.98,Top,Thin,Female
https://www.boyner.com.tr/koton-bluz-841115,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002406862_650_01.jpg,Koton     Pembe Kadın Bluz 9YAK68162CW,841.46,Top,Thin,Female
https://www.boyner.com.tr/koton-pembe-kadin-bluz-p-1358239,https://statics.boyner.com.tr/mnresize/325/451/productimages/5000310609_650_01.jpg,Koton Pembe Kadın Bluz,265.96,Top,Thin,Female
https://www.boyner.com.tr/pierre-cardin-bluz-1123469,https://statics.boyner.com.tr/mnresize/325/451/productimages/5002825831_400_01.jpg,Pierre Cardin Vitto-B Bisiklet Yaka  Regular Fit Baskılı Mavi Kadın Bluz,293.98,Top,Thin,Female
